,지역,처리방식,종류,세부종류,소계,재활용,소각,매립,기타
31,전국,재활용 가능자원 분리배출,폐유리병류,소계,282434.9,282434.9,0.0,0.0,0.0
32,전국,재활용 가능자원 분리배출,폐의류,소계,118386.3,118386.3,0.0,0.0,0.0
33,전국,재활용 가능자원 분리배출,폐섬유류,소계,15655.6,15655.6,0.0,0.0,0.0
34,전국,재활용 가능자원 분리배출,조명폐기물,조명폐기물,6296.6,6296.6,0.0,0.0,0.0
35,전국,재활용 가능자원 분리배출,폐전지류,소계,4432.8,4432.8,0.0,0.0,0.0
36,전국,재활용 가능자원 분리배출,영농폐기물,농약용기류,5194.4,5194.4,0.0,0.0,0.0
37,전국,재활용 가능자원 분리배출,영농폐기물,폐비닐,202424.1,202424.1,0.0,0.0,0.0
38,전국,재활용 가능자원 분리배출,폐식용유,소계,3220.3,3220.3,0.0,0.0,0.0
39,전국,재활용 가능자원 분리배출,폐전기전자제품,소계,85933.3,85933.3,0.0,0.0,0.0
40,전국,재활용 가능자원 분리배출,폐가구류,소계,111983.7,111983.7,0.0,0.0,0.0
41,전국,재활용 가능자원 분리배출,기타,소계,66060.0,66059.8,0.0,0.0,0.2
42,전국,재활용 가능자원 분리배출,재활용 잔재물,소계,559986.5,355339.7,154369.7,49851.6,425.5
43,전국,음식물류 폐기물 분리배출,소계,소계,4475557.9,4336599.9,64532.7,37995.5,36429.8
44,서울,합계,소계,소계,2899182.3,1770556.1,797576.8,330941.3,108.1
45,서울,종량제방식 등 혼합배출,소계,소계,1162846.9,42475.3,789430.3,330941.3,0.0
46,서울,종량제방식 등 혼합배출,가연성,소계,1085897.4,40439.4,740817.1,304640.9,0.0
47,서울,종량제방식 등 혼합배출,가연성,폐지류,339570.4,0.0,236193.2,103377.2,0.0
48,서울,종량제방식 등 혼합배출,가연성,폐합성수지류,248002.5,5912.9,181528.4,60561.2,0.0
49,서울,종량제방식 등 혼합배출,가연성,폐고무류,6244.3,0.0,4343.4,1900.9,0.0
50,서울,종량제방식 등 혼합배출,가연성,폐섬유류,21642.0,0.0,15181.3,6460.7,0.0
51,서울,종량제방식 등 혼합배출,가연성,음식물류 폐기물,26089.2,0.0,18159.0,7930.2,0.0
52,서울,종량제방식 등 혼합배출,가연성,폐목재류,45361.7,33572.9,8200.0,3588.8,0.0
53,서울,종량제방식 등 혼합배출,가연성,기타,398987.3,953.6,277211.8,120821.9,0.0
54,서울,종량제방식 등 혼합배출,불연성,소계,68560.2,0.0,47688.1,20872.1,0.0
55,서울,종량제방식 등 혼합배출,불연성,폐금속류,10603.8,0.0,7375.9,3227.9,0.0
56,서울,종량제방식 등 혼합배출,불연성,폐유리류,21011.1,0.0,14614.2,6396.9,0.0
57,서울,종량제방식 등 혼합배출,불연성,폐토사류,3998.2,0.0,2781.0,1217.2,0.0
58,서울,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,4797.5,0.0,3337.1,1460.4,0.0
59,서울,종량제방식 등 혼합배출,불연성,연탄재,20.5,0.0,14.3,6.2,0.0
60,서울,종량제방식 등 혼합배출,불연성,기타,28129.1,0.0,19565.6,8563.5,0.0
61,서울,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),8328.9,2035.9,871.5,5421.5,0.0
62,서울,종량제방식 등 혼합배출,기타(배출불명등),소계,60.4,0.0,53.6,6.8,0.0
63,서울,재활용 가능자원 분리배출,소계,소계,900880.7,892734.2,8146.5,0.0,0.0
64,서울,재활용 가능자원 분리배출,폐지류,종이팩,740.4,740.4,0.0,0.0,0.0
65,서울,재활용 가능자원 분리배출,폐지류,기타,242592.7,242592.7,0.0,0.0,0.0
66,서울,재활용 가능자원 분리배출,고철류,소계,11393.4,11393.4,0.0,0.0,0.0
67,서울,재활용 가능자원 분리배출,금속캔,소계,18812.4,18812.4,0.0,0.0,0.0
68,서울,재활용 가능자원 분리배출,폐합성수지류,비닐류,142013.8,142013.8,0.0,0.0,0.0
69,서울,재활용 가능자원 분리배출,폐합성수지류,발포수지류,15494.8,15494.8,0.0,0.0,0.0
70,서울,재활용 가능자원 분리배출,폐합성수지류,PET병,39452.2,39452.2,0.0,0.0,0.0
71,서울,재활용 가능자원 분리배출,폐합성수지류,기타,113616.5,113616.5,0.0,0.0,0.0
72,서울,재활용 가능자원 분리배출,폐고무류,소계,22.2,22.2,0.0,0.0,0.0
73,서울,재활용 가능자원 분리배출,폐유리병류,소계,58904.0,58904.0,0.0,0.0,0.0
74,서울,재활용 가능자원 분리배출,폐의류,소계,25852.4,25852.4,0.0,0.0,0.0
75,서울,재활용 가능자원 분리배출,폐섬유류,소계,14042.3,14042.3,0.0,0.0,0.0
76,서울,재활용 가능자원 분리배출,조명폐기물,조명폐기물,1536.8,1536.8,0.0,0.0,0.0
77,서울,재활용 가능자원 분리배출,폐전지류,소계,482.7,482.7,0.0,0.0,0.0
78,서울,재활용 가능자원 분리배출,영농폐기물,농약용기류,0.2,0.2,0.0,0.0,0.0
79,서울,재활용 가능자원 분리배출,영농폐기물,폐비닐,0.0,0.0,0.0,0.0,0.0
80,서울,재활용 가능자원 분리배출,폐식용유,소계,2061.1,2061.1,0.0,0.0,0.0
81,서울,재활용 가능자원 분리배출,폐전기전자제품,소계,7766.8,7766.8,0.0,0.0,0.0
82,서울,재활용 가능자원 분리배출,폐가구류,소계,15784.3,15784.3,0.0,0.0,0.0
83,서울,재활용 가능자원 분리배출,기타,소계,13367.9,13367.9,0.0,0.0,0.0
84,서울,재활용 가능자원 분리배출,재활용 잔재물,소계,176943.8,168797.3,8146.5,0.0,0.0
85,서울,음식물류 폐기물 분리배출,소계,소계,835454.7,835346.6,0.0,0.0,108.1
86,부산,합계,소계,소계,786487.3,548799.0,115298.6,122317.7,72.0
87,부산,종량제방식 등 혼합배출,소계,소계,341567.9,107726.6,111523.6,122317.7,0.0
88,부산,종량제방식 등 혼합배출,가연성,소계,251571.6,107295.7,97917.5,46358.4,0.0
89,부산,종량제방식 등 혼합배출,가연성,폐지류,79872.2,23484.4,49293.2,7094.6,0.0
90,부산,종량제방식 등 혼합배출,가연성,폐합성수지류,106400.3,52893.9,25985.0,27521.4,0.0
91,부산,종량제방식 등 혼합배출,가연성,폐고무류,489.2,0.0,0.0,489.2,0.0
92,부산,종량제방식 등 혼합배출,가연성,폐섬유류,32120.9,22084.0,6245.3,3791.6,0.0
93,부산,종량제방식 등 혼합배출,가연성,음식물류 폐기물,25065.3,5278.6,12936.8,6849.9,0.0
94,부산,종량제방식 등 혼합배출,가연성,폐목재류,5577.1,1508.2,3457.2,611.7,0.0
95,부산,종량제방식 등 혼합배출,가연성,기타,2046.6,2046.6,0.0,0.0,0.0
96,부산,종량제방식 등 혼합배출,불연성,소계,89996.3,430.9,13606.1,75959.3,0.0
97,부산,종량제방식 등 혼합배출,불연성,폐금속류,5666.1,107.8,3234.3,2324.0,0.0
98,부산,종량제방식 등 혼합배출,불연성,폐유리류,5215.6,323.1,3791.7,1100.8,0.0
99,부산,종량제방식 등 혼합배출,불연성,폐토사류,0.0,0.0,0.0,0.0,0.0
100,부산,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,0.0,0.0,0.0,0.0,0.0
101,부산,종량제방식 등 혼합배출,불연성,연탄재,0.0,0.0,0.0,0.0,0.0
102,부산,종량제방식 등 혼합배출,불연성,기타,79114.6,0.0,6580.1,72534.5,0.0
103,부산,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0,0.0,0.0,0.0,0.0
104,부산,종량제방식 등 혼합배출,기타(배출불명등),소계,0.0,0.0,0.0,0.0,0.0
105,부산,재활용 가능자원 분리배출,소계,소계,232079.2,228304.2,3775.0,0.0,0.0
106,부산,재활용 가능자원 분리배출,폐지류,종이팩,209.2,209.2,0.0,0.0,0.0
107,부산,재활용 가능자원 분리배출,폐지류,기타,84844.9,84844.9,0.0,0.0,0.0
108,부산,재활용 가능자원 분리배출,고철류,소계,3262.3,3262.3,0.0,0.0,0.0
109,부산,재활용 가능자원 분리배출,금속캔,소계,5405.5,5405.5,0.0,0.0,0.0
110,부산,재활용 가능자원 분리배출,폐합성수지류,비닐류,26639.7,26639.7,0.0,0.0,0.0
111,부산,재활용 가능자원 분리배출,폐합성수지류,발포수지류,3636.0,3636.0,0.0,0.0,0.0
112,부산,재활용 가능자원 분리배출,폐합성수지류,PET병,4400.2,4400.2,0.0,0.0,0.0
113,부산,재활용 가능자원 분리배출,폐합성수지류,기타,53981.0,53981.0,0.0,0.0,0.0
114,부산,재활용 가능자원 분리배출,폐고무류,소계,10.5,10.5,0.0,0.0,0.0
115,부산,재활용 가능자원 분리배출,폐유리병류,소계,25364.2,25364.2,0.0,0.0,0.0
116,부산,재활용 가능자원 분리배출,폐의류,소계,8482.7,8482.7,0.0,0.0,0.0
117,부산,재활용 가능자원 분리배출,폐섬유류,소계,0.0,0.0,0.0,0.0,0.0
118,부산,재활용 가능자원 분리배출,조명폐기물,조명폐기물,350.8,350.8,0.0,0.0,0.0
119,부산,재활용 가능자원 분리배출,폐전지류,소계,307.2,307.2,0.0,0.0,0.0
120,부산,재활용 가능자원 분리배출,영농폐기물,농약용기류,10.6,10.6,0.0,0.0,0.0
121,부산,재활용 가능자원 분리배출,영농폐기물,폐비닐,283.3,283.3,0.0,0.0,0.0
122,부산,재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0,0.0,0.0,0.0
123,부산,재활용 가능자원 분리배출,폐전기전자제품,소계,11092.3,11092.3,0.0,0.0,0.0
124,부산,재활용 가능자원 분리배출,폐가구류,소계,0.0,0.0,0.0,0.0,0.0
125,부산,재활용 가능자원 분리배출,기타,소계,23.8,23.8,0.0,0.0,0.0
126,부산,재활용 가능자원 분리배출,재활용 잔재물,소계,3775.0,0.0,3775.0,0.0,0.0
127,부산,음식물류 폐기물 분리배출,소계,소계,212840.2,212768.2,0.0,0.0,72.0
128,대구,합계,소계,소계,796937.9,484335.0,85479.2,227123.7,0.0
129,대구,종량제방식 등 혼합배출,소계,소계,439318.3,130395.4,84736.4,224186.5,0.0
130,대구,종량제방식 등 혼합배출,가연성,소계,339127.7,121173.5,78677.2,139277.0,0.0
131,대구,종량제방식 등 혼합배출,가연성,폐지류,75899.8,27119.6,17609.0,31171.2,0.0
132,대구,종량제방식 등 혼합배출,가연성,폐합성수지류,68632.6,24522.7,15922.7,28187.2,0.0
133,대구,종량제방식 등 혼합배출,가연성,폐고무류,2298.2,821.0,533.3,943.9,0.0
134,대구,종량제방식 등 혼합배출,가연성,폐섬유류,16528.1,5905.7,3834.7,6787.7,0.0
135,대구,종량제방식 등 혼합배출,가연성,음식물류 폐기물,23680.7,8461.4,5494.0,9725.3,0.0
136,대구,종량제방식 등 혼합배출,가연성,폐목재류,6459.4,2308.1,1498.5,2652.8,0.0
137,대구,종량제방식 등 혼합배출,가연성,기타,145628.9,52035.0,33785.0,59808.9,0.0
138,대구,종량제방식 등 혼합배출,불연성,소계,25780.1,9212.0,5980.7,10587.4,0.0
139,대구,종량제방식 등 혼합배출,불연성,폐금속류,5655.8,2020.9,1312.1,2322.8,0.0
140,대구,종량제방식 등 혼합배출,불연성,폐유리류,7954.9,2842.3,1845.6,3267.0,0.0
141,대구,종량제방식 등 혼합배출,불연성,폐토사류,1129.9,403.8,262.2,463.9,0.0
142,대구,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,692.8,247.7,160.8,284.3,0.0
143,대구,종량제방식 등 혼합배출,불연성,연탄재,35.0,12.6,8.1,14.3,0.0
144,대구,종량제방식 등 혼합배출,불연성,기타,10311.7,3684.7,2391.9,4235.1,0.0
145,대구,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),74376.7,0.0,67.1,74309.6,0.0
146,대구,종량제방식 등 혼합배출,기타(배출불명등),소계,33.8,9.9,11.4,12.5,0.0
147,대구,재활용 가능자원 분리배출,소계,소계,136229.6,132549.6,742.8,2937.2,0.0
148,대구,재활용 가능자원 분리배출,폐지류,종이팩,112.3,112.3,0.0,0.0,0.0
149,대구,재활용 가능자원 분리배출,폐지류,기타,24834.9,24834.9,0.0,0.0,0.0
150,대구,재활용 가능자원 분리배출,고철류,소계,760.1,760.1,0.0,0.0,0.0
151,대구,재활용 가능자원 분리배출,금속캔,소계,1837.5,1837.5,0.0,0.0,0.0
152,대구,재활용 가능자원 분리배출,폐합성수지류,비닐류,15679.3,15679.3,0.0,0.0,0.0
153,대구,재활용 가능자원 분리배출,폐합성수지류,발포수지류,2052.1,2052.1,0.0,0.0,0.0
154,대구,재활용 가능자원 분리배출,폐합성수지류,PET병,10605.1,10605.1,0.0,0.0,0.0
155,대구,재활용 가능자원 분리배출,폐합성수지류,기타,11644.3,11644.3,0.0,0.0,0.0
156,대구,재활용 가능자원 분리배출,폐고무류,소계,0.4,0.4,0.0,0.0,0.0
157,대구,재활용 가능자원 분리배출,폐유리병류,소계,14913.0,14913.0,0.0,0.0,0.0
158,대구,재활용 가능자원 분리배출,폐의류,소계,2457.3,2457.3,0.0,0.0,0.0
159,대구,재활용 가능자원 분리배출,폐섬유류,소계,40.0,40.0,0.0,0.0,0.0
160,대구,재활용 가능자원 분리배출,조명폐기물,조명폐기물,336.6,336.6,0.0,0.0,0.0
161,대구,재활용 가능자원 분리배출,폐전지류,소계,229.0,229.0,0.0,0.0,0.0
162,대구,재활용 가능자원 분리배출,영농폐기물,농약용기류,3.0,3.0,0.0,0.0,0.0
163,대구,재활용 가능자원 분리배출,영농폐기물,폐비닐,492.1,492.1,0.0,0.0,0.0
164,대구,재활용 가능자원 분리배출,폐식용유,소계,802.5,802.5,0.0,0.0,0.0
165,대구,재활용 가능자원 분리배출,폐전기전자제품,소계,3372.3,3372.3,0.0,0.0,0.0
166,대구,재활용 가능자원 분리배출,폐가구류,소계,11022.9,11022.9,0.0,0.0,0.0
167,대구,재활용 가능자원 분리배출,기타,소계,3632.7,3632.7,0.0,0.0,0.0
168,대구,재활용 가능자원 분리배출,재활용 잔재물,소계,31402.2,27722.2,742.8,2937.2,0.0
169,대구,음식물류 폐기물 분리배출,소계,소계,221390.0,221390.0,0.0,0.0,0.0
170,인천,합계,소계,소계,843308.0,515070.5,237024.0,91213.5,0.0
171,인천,종량제방식 등 혼합배출,소계,소계,388259.4,70314.6,226731.3,91213.5,0.0
172,인천,종량제방식 등 혼합배출,가연성,소계,358569.9,63003.9,211006.4,84559.6,0.0
173,인천,종량제방식 등 혼합배출,가연성,폐지류,71376.6,7037.8,45442.8,18896.0,0.0
174,인천,종량제방식 등 혼합배출,가연성,폐합성수지류,68765.5,8696.4,42981.0,17088.1,0.0
175,인천,종량제방식 등 혼합배출,가연성,폐고무류,2162.2,213.2,1376.5,572.5,0.0
176,인천,종량제방식 등 혼합배출,가연성,폐섬유류,15545.2,1532.7,9897.0,4115.5,0.0
177,인천,종량제방식 등 혼합배출,가연성,음식물류 폐기물,22406.3,2196.0,14179.2,6031.1,0.0
178,인천,종량제방식 등 혼합배출,가연성,폐목재류,34920.9,29445.8,3867.1,1608.0,0.0
179,인천,종량제방식 등 혼합배출,가연성,기타,143393.2,13882.0,93262.8,36248.4,0.0
180,인천,종량제방식 등 혼합배출,불연성,소계,26184.9,4097.7,15442.6,6644.6,0.0
181,인천,종량제방식 등 혼합배출,불연성,폐금속류,5318.6,524.4,3386.2,1408.0,0.0
182,인천,종량제방식 등 혼합배출,불연성,폐유리류,8165.1,1422.0,4762.7,1980.4,0.0
183,인천,종량제방식 등 혼합배출,불연성,폐토사류,1255.9,296.8,677.4,281.7,0.0
184,인천,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,1448.7,861.0,415.1,172.6,0.0
185,인천,종량제방식 등 혼합배출,불연성,연탄재,156.8,37.0,22.1,97.7,0.0
186,인천,종량제방식 등 혼합배출,불연성,기타,9839.8,956.5,6179.1,2704.2,0.0
187,인천,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),604.4,595.1,0.0,9.3,0.0
188,인천,종량제방식 등 혼합배출,기타(배출불명등),소계,2900.2,2617.9,282.3,0.0,0.0
189,인천,재활용 가능자원 분리배출,소계,소계,226926.9,216634.2,10292.7,0.0,0.0
190,인천,재활용 가능자원 분리배출,폐지류,종이팩,280.4,280.4,0.0,0.0,0.0
191,인천,재활용 가능자원 분리배출,폐지류,기타,74072.4,74072.4,0.0,0.0,0.0
192,인천,재활용 가능자원 분리배출,고철류,소계,6294.9,6294.9,0.0,0.0,0.0
193,인천,재활용 가능자원 분리배출,금속캔,소계,7396.4,7396.4,0.0,0.0,0.0
194,인천,재활용 가능자원 분리배출,폐합성수지류,비닐류,43226.2,43226.2,0.0,0.0,0.0
195,인천,재활용 가능자원 분리배출,폐합성수지류,발포수지류,3625.6,3625.6,0.0,0.0,0.0
196,인천,재활용 가능자원 분리배출,폐합성수지류,PET병,7305.6,7305.6,0.0,0.0,0.0
197,인천,재활용 가능자원 분리배출,폐합성수지류,기타,24803.9,24803.9,0.0,0.0,0.0
198,인천,재활용 가능자원 분리배출,폐고무류,소계,0.0,0.0,0.0,0.0,0.0
199,인천,재활용 가능자원 분리배출,폐유리병류,소계,16233.3,16233.3,0.0,0.0,0.0
200,인천,재활용 가능자원 분리배출,폐의류,소계,7541.1,7541.1,0.0,0.0,0.0
201,인천,재활용 가능자원 분리배출,폐섬유류,소계,0.0,0.0,0.0,0.0,0.0
202,인천,재활용 가능자원 분리배출,조명폐기물,조명폐기물,336.5,336.5,0.0,0.0,0.0
203,인천,재활용 가능자원 분리배출,폐전지류,소계,292.6,292.6,0.0,0.0,0.0
204,인천,재활용 가능자원 분리배출,영농폐기물,농약용기류,0.0,0.0,0.0,0.0,0.0
205,인천,재활용 가능자원 분리배출,영농폐기물,폐비닐,954.8,954.8,0.0,0.0,0.0
206,인천,재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0,0.0,0.0,0.0
207,인천,재활용 가능자원 분리배출,폐전기전자제품,소계,4878.4,4878.4,0.0,0.0,0.0
208,인천,재활용 가능자원 분리배출,폐가구류,소계,800.3,800.3,0.0,0.0,0.0
209,인천,재활용 가능자원 분리배출,기타,소계,642.5,642.5,0.0,0.0,0.0
210,인천,재활용 가능자원 분리배출,재활용 잔재물,소계,28242.0,17949.3,10292.7,0.0,0.0
211,인천,음식물류 폐기물 분리배출,소계,소계,228121.7,228121.7,0.0,0.0,0.0
212,광주,합계,소계,소계,486488.7,294685.3,22007.0,169796.4,0.0
213,광주,종량제방식 등 혼합배출,소계,소계,199602.5,13515.6,17619.5,168467.4,0.0
214,광주,종량제방식 등 혼합배출,가연성,소계,185884.4,13413.8,17531.5,154939.1,0.0
215,광주,종량제방식 등 혼합배출,가연성,폐지류,35467.2,300.1,491.1,34676.0,0.0
216,광주,종량제방식 등 혼합배출,가연성,폐합성수지류,32021.4,271.3,390.7,31359.4,0.0
217,광주,종량제방식 등 혼합배출,가연성,폐고무류,1072.1,9.1,13.1,1049.9,0.0
218,광주,종량제방식 등 혼합배출,가연성,폐섬유류,7709.6,65.3,94.1,7550.2,0.0
219,광주,종량제방식 등 혼합배출,가연성,음식물류 폐기물,11047.4,93.7,134.9,10818.8,0.0
220,광주,종량제방식 등 혼합배출,가연성,폐목재류,15087.8,12098.8,36.8,2952.2,0.0
221,광주,종량제방식 등 혼합배출,가연성,기타,83478.9,575.5,16370.8,66532.6,0.0
222,광주,종량제방식 등 혼합배출,불연성,소계,13718.1,101.8,88.0,13528.3,0.0
223,광주,종량제방식 등 혼합배출,불연성,폐금속류,2638.8,22.2,32.2,2584.4,0.0
224,광주,종량제방식 등 혼합배출,불연성,폐유리류,3711.2,31.5,45.3,3634.4,0.0
225,광주,종량제방식 등 혼합배출,불연성,폐토사류,559.0,4.7,6.4,547.9,0.0
226,광주,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,322.9,2.8,3.9,316.2,0.0
227,광주,종량제방식 등 혼합배출,불연성,연탄재,15.2,0.0,0.2,15.0,0.0
228,광주,종량제방식 등 혼합배출,불연성,기타,6471.0,40.6,0.0,6430.4,0.0
229,광주,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0,0.0,0.0,0.0,0.0
230,광주,종량제방식 등 혼합배출,기타(배출불명등),소계,0.0,0.0,0.0,0.0,0.0
231,광주,재활용 가능자원 분리배출,소계,소계,128437.9,122721.4,4387.5,1329.0,0.0
232,광주,재활용 가능자원 분리배출,폐지류,종이팩,231.1,231.1,0.0,0.0,0.0
233,광주,재활용 가능자원 분리배출,폐지류,기타,46092.8,46092.8,0.0,0.0,0.0
234,광주,재활용 가능자원 분리배출,고철류,소계,1459.9,1459.9,0.0,0.0,0.0
235,광주,재활용 가능자원 분리배출,금속캔,소계,2627.0,2627.0,0.0,0.0,0.0
236,광주,재활용 가능자원 분리배출,폐합성수지류,비닐류,18453.3,18453.3,0.0,0.0,0.0
237,광주,재활용 가능자원 분리배출,폐합성수지류,발포수지류,1997.9,1997.9,0.0,0.0,0.0
238,광주,재활용 가능자원 분리배출,폐합성수지류,PET병,11081.4,11081.4,0.0,0.0,0.0
239,광주,재활용 가능자원 분리배출,폐합성수지류,기타,10328.0,10328.0,0.0,0.0,0.0
240,광주,재활용 가능자원 분리배출,폐고무류,소계,0.0,0.0,0.0,0.0,0.0
241,광주,재활용 가능자원 분리배출,폐유리병류,소계,9343.8,9343.8,0.0,0.0,0.0
242,광주,재활용 가능자원 분리배출,폐의류,소계,6522.1,6522.1,0.0,0.0,0.0
243,광주,재활용 가능자원 분리배출,폐섬유류,소계,0.0,0.0,0.0,0.0,0.0
244,광주,재활용 가능자원 분리배출,조명폐기물,조명폐기물,172.6,172.6,0.0,0.0,0.0
245,광주,재활용 가능자원 분리배출,폐전지류,소계,136.7,136.7,0.0,0.0,0.0
246,광주,재활용 가능자원 분리배출,영농폐기물,농약용기류,10.5,10.5,0.0,0.0,0.0
247,광주,재활용 가능자원 분리배출,영농폐기물,폐비닐,336.6,336.6,0.0,0.0,0.0
248,광주,재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0,0.0,0.0,0.0
249,광주,재활용 가능자원 분리배출,폐전기전자제품,소계,1618.1,1618.1,0.0,0.0,0.0
250,광주,재활용 가능자원 분리배출,폐가구류,소계,0.0,0.0,0.0,0.0,0.0
251,광주,재활용 가능자원 분리배출,기타,소계,6749.9,6749.9,0.0,0.0,0.0
252,광주,재활용 가능자원 분리배출,재활용 잔재물,소계,11276.2,5559.7,4387.5,1329.0,0.0
253,광주,음식물류 폐기물 분리배출,소계,소계,158448.3,158448.3,0.0,0.0,0.0
254,대전,합계,소계,소계,502289.3,343199.4,35316.1,123773.8,0.0
255,대전,종량제방식 등 혼합배출,소계,소계,247109.2,95740.7,35316.1,116052.4,0.0
256,대전,종량제방식 등 혼합배출,가연성,소계,208724.4,89273.2,33070.1,86381.1,0.0
257,대전,종량제방식 등 혼합배출,가연성,폐지류,42248.8,18527.6,6611.7,17109.5,0.0
258,대전,종량제방식 등 혼합배출,가연성,폐합성수지류,38206.0,16754.5,5979.0,15472.5,0.0
259,대전,종량제방식 등 혼합배출,가연성,폐고무류,1279.3,561.0,200.0,518.3,0.0
260,대전,종량제방식 등 혼합배출,가연성,폐섬유류,9199.3,4033.6,1439.5,3726.2,0.0
261,대전,종량제방식 등 혼합배출,가연성,음식물류 폐기물,13180.7,5779.7,2062.6,5338.4,0.0
262,대전,종량제방식 등 혼합배출,가연성,폐목재류,22589.0,8070.8,3996.9,10521.3,0.0
263,대전,종량제방식 등 혼합배출,가연성,기타,82021.3,35546.0,12780.4,33694.9,0.0
264,대전,종량제방식 등 혼합배출,불연성,소계,15872.2,6467.5,2246.0,7158.7,0.0
265,대전,종량제방식 등 혼합배출,불연성,폐금속류,3323.5,1555.8,492.7,1275.0,0.0
266,대전,종량제방식 등 혼합배출,불연성,폐유리류,4428.2,1941.9,693.1,1793.2,0.0
267,대전,종량제방식 등 혼합배출,불연성,폐토사류,627.8,274.5,98.3,255.0,0.0
268,대전,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,385.5,168.8,60.3,156.4,0.0
269,대전,종량제방식 등 혼합배출,불연성,연탄재,1361.0,7.3,2.5,1351.2,0.0
270,대전,종량제방식 등 혼합배출,불연성,기타,5746.2,2519.2,899.1,2327.9,0.0
271,대전,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),22512.6,0.0,0.0,22512.6,0.0
